lat,lon,depth,chlor_a,current_speed,salinity,sst
-90.0,-180.0,105.95284175255556,,,,-7.768000000000029
-90.0,-179.0,107.05944499958557,,,,-7.768000000000029
-90.0,-178.0,108.96936363227778,,,,-7.768000000000029
-90.0,-177.0,111.69167053922222,,,,-7.768000000000029
-90.0,-176.0,115.4211555025,,,,-7.768000000000029
-90.0,-175.0,119.73013318565556,,,,-7.768000000000029
-90.0,-174.0,124.57754755455557,,,,-7.768000000000029
-90.0,-173.0,129.75322657294444,,,,-7.768000000000029
-90.0,-172.0,136.2637128553889,,,,-7.768000000000029
-90.0,-171.0,144.03525381733334,,,,-7.768000000000029
-90.0,-170.0,150.67349629266667,,,,-7.768000000000029
-90.0,-169.0,154.50824978677778,,,,-7.768000000000029
-90.0,-168.0,153.85012862295054,,,,-7.768000000000029
-90.0,-167.0,149.3371765255361,,,,-7.768000000000029
-90.0,-166.0,144.54533538693337,,,,-7.768000000000029
-90.0,-165.0,141.65428122557222,,,,-7.768000000000029
-90.0,-164.0,140.46550647385666,,,,-7.768000000000029
-90.0,-163.0,140.12822088411113,,,,-7.768000000000029
-90.0,-162.0,139.0865823117778,,,,-7.768000000000029
-90.0,-161.0,137.1250329335389,,,,-7.768000000000029
-90.0,-160.0,134.31615424583333,,,,-7.768000000000029
-90.0,-159.0,130.59418394275556,,,,-7.768000000000029
-90.0,-158.0,126.11319270629278,,,,-7.768000000000029
-90.0,-157.0,120.97284734383167,,,,-7.768000000000029
-90.0,-156.0,115.22517227049222,,,,-7.768000000000029
-90.0,-155.0,109.3963128276,,,,-7.768000000000029
-90.0,-154.0,102.86491353898332,,,,-7.768000000000029
-90.0,-153.0,93.95141103352223,,,,-7.768000000000029
-90.0,-152.0,82.53709171,,,,-7.768000000000029
-90.0,-151.0,70.23298400659166,,,,-7.768000000000029
-90.0,-150.0,59.27794076083333,,,,-7.768000000000029
-90.0,-149.0,51.65110902833334,,,,-7.768000000000029
-90.0,-148.0,49.37703445183333,,,,-7.768000000000029
-90.0,-147.0,49.63781270277778,,,,-7.768000000000029
-90.0,-146.0,47.0675334938,,,,-7.768000000000029
-90.0,-145.0,42.50346366272223,,,,-7.768000000000029
-90.0,-144.0,39.335408503277776,,,,-7.768000000000029
-90.0,-143.0,37.63548389573333,,,,-7.768000000000029
-90.0,-142.0,37.153752515044445,,,,-7.768000000000029
-90.0,-141.0,36.81507104627222,,,,-7.768000000000029
-90.0,-140.0,36.44368898944444,,,,-7.768000000000029
-90.0,-139.0,37.33776885755556,,,,-7.768000000000029
-90.0,-138.0,38.04940580466111,,,,-7.768000000000029
-90.0,-137.0,38.094169972833335,,,,-7.768000000000029
-90.0,-136.0,37.57692487841667,,,,-7.768000000000029
-90.0,-135.0,36.288896987743335,,,,-7.768000000000029
-90.0,-134.0,35.444322399030554,,,,-7.768000000000029
-90.0,-133.0,36.63822038488889,,,,-7.768000000000029
-90.0,-132.0,37.92094253612874,,,,-7.768000000000029
-90.0,-131.0,35.88787975444444,,,,-7.768000000000029
-90.0,-130.0,32.53960018475556,,,,-7.768000000000029
-90.0,-129.0,31.934384708444444,,,,-7.768000000000029
-90.0,-128.0,33.027664034177775,,,,-7.768000000000029
-90.0,-127.0,32.88374258457211,,,,-7.768000000000029
-90.0,-126.0,33.396710449222226,,,,-7.768000000000029
-90.0,-125.0,38.128222053625,,,,-7.768000000000029
-90.0,-124.0,45.45014919005889,,,,-7.768000000000029
-90.0,-123.0,53.2531916225,,,,-7.768000000000029
-90.0,-122.0,60.249157875916666,,,,-7.768000000000029
-90.0,-121.0,62.21020228855,,,,-7.768000000000029
-90.0,-120.0,59.37695659525278,,,,-7.768000000000029
-90.0,-119.0,57.859597149,,,,-7.768000000000029
-90.0,-118.0,58.26089032843333,,,,-7.768000000000029
-90.0,-117.0,57.395386517750005,,,,-7.768000000000029
-90.0,-116.0,54.60920418485555,,,,-7.768000000000029
-90.0,-115.0,48.06938630312222,,,,-7.768000000000029
-90.0,-114.0,34.289670560266664,,,,-7.768000000000029
-90.0,-113.0,16.178540649833334,,,,-7.768000000000029
-90.0,-112.0,4.577745848719278,,,,-7.768000000000029
-90.0,-111.0,3.962603274025,,,,-7.768000000000029
-90.0,-110.0,5.445094980155555,,,,-7.768000000000029
-90.0,-109.0,0.4439872344000001,,,,-7.768000000000029
-90.0,-108.0,-8.003317210823333,,,,-7.768000000000029
-90.0,-107.0,-13.877842123,,,,-7.768000000000029
-90.0,-106.0,-17.2120992925,,,,-7.768000000000029
-90.0,-105.0,-19.13644996555556,,,,-7.768000000000029
-90.0,-104.0,-19.31230610055556,,,,-7.768000000000029
-90.0,-103.0,-17.82303195,,,,-7.768000000000029
-90.0,-102.0,-14.786204636666666,,,,-7.768000000000029
-90.0,-101.0,-11.354781695,,,,-7.768000000000029
-90.0,-100.0,-9.459671651180557,,,,-7.768000000000029
-90.0,-99.0,-7.922742706513611,,,,-7.768000000000029
-90.0,-98.0,-3.530047312963333,,,,-7.768000000000029
-90.0,-97.0,3.4282322879222225,,,,-7.768000000000029
-90.0,-96.0,7.982567999722222,,,,-7.768000000000029
-90.0,-95.0,4.057748410555556,,,,-7.768000000000029
-90.0,-94.0,-7.272805151983331,,,,-7.768000000000029
-90.0,-93.0,-19.24888253383333,,,,-7.768000000000029
-90.0,-92.0,-27.88658324895222,,,,-7.768000000000029
-90.0,-91.0,-32.322899058055555,,,,-7.768000000000029
-90.0,-90.0,-34.45901455414583,,,,-7.768000000000029
-90.0,-89.0,-35.81974505294445,,,,-7.768000000000029
-90.0,-88.0,-38.45285303809056,,,,-7.768000000000029
-90.0,-87.0,-43.34039005066667,,,,-7.768000000000029
-90.0,-86.0,-49.03026467133889,,,,-7.768000000000029
-90.0,-85.0,-50.92227267460667,,,,-7.768000000000029
-90.0,-84.0,-44.63423024994444,,,,-7.768000000000029
-90.0,-83.0,-30.752330690892663,,,,-7.768000000000029
-90.0,-82.0,-17.1842669796,,,,-7.768000000000029
-90.0,-81.0,-10.524121837183335,,,,-7.768000000000029
-90.0,-80.0,-10.9992206425,,,,-7.768000000000029
-90.0,-79.0,-12.206298653888888,,,,-7.768000000000029
-90.0,-78.0,-10.656088828866666,,,,-7.768000000000029
-90.0,-77.0,-10.388665537619444,,,,-7.768000000000029
-90.0,-76.0,-15.00539179775889,,,,-7.768000000000029
-90.0,-75.0,-21.896639030941667,,,,-7.768000000000029
-90.0,-74.0,-25.871083469027777,,,,-7.768000000000029
-90.0,-73.0,-25.402304289666667,,,,-7.768000000000029
-90.0,-72.0,-22.70384891666667,,,,-7.768000000000029
-90.0,-71.0,-18.899897246111117,,,,-7.768000000000029
-90.0,-70.0,-14.257403094166667,,,,-7.768000000000029
-90.0,-69.0,-10.391296961166669,,,,-7.768000000000029
-90.0,-68.0,-7.013735194750001,,,,-7.768000000000029
-90.0,-67.0,-4.551297848903333,,,,-7.768000000000029
-90.0,-66.0,-6.682174842611111,,,,-7.768000000000029
-90.0,-65.0,-12.071609485767777,,,,-7.768000000000029
-90.0,-64.0,-12.482781955616668,,,,-7.768000000000029
-90.0,-63.0,-4.887678575648889,,,,-7.768000000000029
-90.0,-62.0,3.4699141539531118,,,,-7.768000000000029
-90.0,-61.0,5.057729256111111,,,,-7.768000000000029
-90.0,-60.0,2.0919909735555557,,,,-7.768000000000029
-90.0,-59.0,3.1533436565,,,,-7.768000000000029
-90.0,-58.0,9.196442735333331,,,,-7.768000000000029
-90.0,-57.0,13.472006832769445,,,,-7.768000000000029
-90.0,-56.0,11.793316561944444,,,,-7.768000000000029
-90.0,-55.0,5.0646409935,,,,-7.768000000000029
-90.0,-54.0,-1.868781380055556,,,,-7.768000000000029
